iShares Core S&P/TSX Capped Composite Index ETF
Inception Date,"Feb 16, 2001"
Fund Holdings as of,"30-Jun-2016"
Total Net Assets ($000s),"$2,425,040,039"
Shares Outstanding,"108,900,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,CUSIP,Exchange,Country of Risk,Currency,Market Currency,FX Rate
"ECA","ENCANA","0.47","10.05","1,141,444","$11,471,512","11,471,512.20","Energy","2793193","292505104","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"GIL","GILDAN ACTIVEWEAR INC.","0.47","37.84","300,751","$11,380,418","11,380,417.84","Consumer Discretionary","2254645","375916103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"SAP","SAPUTO INC.","0.46","38.37","290,524","$11,147,406","11,147,405.88","Consumer Staples","2112226","802912105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"SNC","SNC-LAVALIN GROUP INC.","0.45","54.26","201,225","$10,918,469","10,918,468.50","Industrials","2763884","78460T105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"TCK.B","TECK RESOURCES B LTD","0.44","17.01","624,193","$10,617,523","10,617,522.93","Materials","2879327","878742204","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"K","KINROSS GOLD CORP","0.44","6.34","1,670,764","$10,592,644","10,592,643.76","Materials","B03Z841","496902404","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"ARX","ARC RESOURCES LTD.","0.43","22.11","470,412","$10,400,809","10,400,809.32","Energy","B6463M8","00208D408","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"VRX","VALEANT PHARMACEUTICALS INTERNATIO","0.42","26.05","389,453","$10,145,251","10,145,250.65","Health Care","B3XSX46","91911K102","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"KEY","KEYERA CORP.","0.40","39.52","245,224","$9,691,252","9,691,252.48","Energy","B3SGMV5","493271100","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"EMA","EMERA INC","0.40","48.62","198,926","$9,671,782","9,671,782.12","Utilities","2650050","290876101","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"PWF","POWER FINANCIAL CORP.","0.40","29.65","325,612","$9,654,396","9,654,395.80","Financials","2697864","73927C100","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"TOU","TOURMALINE OIL CORP.","0.37","34.01","263,029","$8,945,616","8,945,616.29","Energy","B3QJ0H8","89156V106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"YRI","YAMANA GOLD INC","0.35","6.72","1,271,214","$8,542,558","8,542,558.08","Materials","2219279","98462Y100","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CIX","CI FINANCIAL CORP.","0.35","26.95","316,144","$8,520,081","8,520,080.80","Financials","B3KT0S5","125491100","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"HR.UN","HANDR REAL ESTATE INVESTMENT TRUST","0.35","22.51","377,779","$8,503,805","8,503,805.29","Financials","B3DJHT2","404428203","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"FM","FIRST QUANTUM MINERALS LTD","0.35","9.07","925,260","$8,392,108","8,392,108.20","Materials","2347608","335934105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"OCX","ONEX CORP. (CANADA)","0.34","79.00","105,970","$8,371,630","8,371,630.00","Financials","2659518","68272K103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"BPY.UN","BROOKFIELD PROPERTY PARTNERS UNITS","0.34","29.05","287,985","$8,365,964","8,365,964.25","Financials","B96G8X3","-","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CCL.B","CCL INDUSTRIES INC. CL B","0.34","224.84","36,455","$8,196,542","8,196,542.20","Materials","2159795","124900309","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"THO","TAHOE RESOURCES INC","0.32","19.35","402,140","$7,781,409","7,781,409.00","Materials","B5B9KV1","873868103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"PEY","PEYTO EXPLORATION & DEVELOPMENT CO","0.32","34.68","220,908","$7,661,089","7,661,089.44","Energy","B6775F5","717046106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CCO","CAMECO CORPORATION","0.31","14.19","531,088","$7,536,139","7,536,138.72","Energy","2166160","13321L108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"DGC","DETOUR GOLD CORP","0.31","32.32","232,199","$7,504,672","7,504,671.68","Materials","B1PMQ65","250669108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"WN","GEORGE WESTON LTD.","0.29","111.81","63,504","$7,100,382","7,100,382.24","Consumer Staples","2956662","961148509","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"EFN","ELEMENT FINANCIAL CORP","0.29","13.70","518,186","$7,099,148","7,099,148.20","Financials","B7FNMQ2","286181201","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"ALA","ALTAGAS LTD.","0.28","31.40","217,695","$6,835,623","6,835,623.00","Energy","B43WJC5","021361100","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"PSK","PRAIRIESKY ROYALTY LTD","0.28","24.52","273,379","$6,703,253","6,703,253.08","Energy","BN320L4","739721108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"HSE","HUSKY ENERGY INC.","0.26","15.77","405,818","$6,399,750","6,399,749.86","Energy","2623836","448055103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
